0.6249,0.99303,0.05
0.31729,0.98833,0.05
0.89339,0.98058,0.05
0.781,0.95935,0.05
0.12224,0.9537,0.05
0.52153,0.94825,0.05
0.42583,0.89498,0.05
0.31877,0.88759,0.05
0.7087,0.88228,0.05
0.99536,0.87288,0.05
0.56436,0.85715,0.05
0.15113,0.83272,0.05
0.86586,0.81195,0.05
0.059678,0.78819,0.05
0.39938,0.77977,0.05
0.71947,0.7694,0.05
0.60306,0.7156,0.05
0.84167,0.711,0.05
0.30477,0.71016,0.05
0.16594,0.70962,0.05
0.48093,0.66117,0.05
0.69631,0.60293,0.05
0.57855,0.58749,0.05
0.079149,0.58071,0.05
0.31679,0.57215,0.05
0.43821,0.56457,0.05
0.94416,0.5395,0.05
0.22826,0.50222,0.05
0.66931,0.50207,0.05
0.11562,0.48491,0.05
0.36179,0.46365,0.05
0.82634,0.44337,0.05
0.54507,0.41052,0.05
0.98363,0.40678,0.05
0.25754,0.3724,0.05
0.45064,0.36929,0.05
0.72342,0.36572,0.05
0.88533,0.36228,0.05
0.079366,0.34957,0.05
0.17108,0.29825,0.05
0.58267,0.27802,0.05
0.30647,0.24503,0.05
0.43086,0.23825,0.05
0.72446,0.2366,0.05
0.85939,0.23269,0.05
0.084904,0.21551,0.05
0.53183,0.1869,0.05
0.18249,0.18163,0.05
0.66487,0.14526,0.05
0.76368,0.10545,0.05
0.98076,0.10264,0.05
0.86631,0.097038,0.05
0.4337,0.09553,0.05
0.32296,0.091296,0.05
0.13089,0.084822,0.05
